TRAIN_NO,DATE,STATION_DEPART,STATION_ARRV,NUM_PASSENGER
5,20190720,대전,울산,15.0
5,20190721,대전,울산,21.0
5,20190722,대전,울산,26.0
5,20190723,대전,울산,18.0
5,20190724,대전,울산,27.0
5,20190725,대전,울산,18.0
5,20190726,대전,울산,32.0
5,20190727,대전,울산,48.0
5,20190728,대전,울산,32.0
5,20190729,대전,울산,19.0
5,20190730,대전,울산,28.0
5,20190701,동대구,부산,16.0
5,20190702,동대구,부산,31.0
5,20190703,동대구,부산,23.0
5,20190704,동대구,부산,33.0
5,20190705,동대구,부산,46.0
5,20190706,동대구,부산,48.0
5,20190707,동대구,부산,28.0
5,20190708,동대구,부산,12.0
5,20190709,동대구,부산,17.0
5,20190710,동대구,부산,34.0
5,20190711,동대구,부산,28.0
5,20190712,동대구,부산,59.0
5,20190713,동대구,부산,27.0
5,20190714,동대구,부산,41.0
5,20190715,동대구,부산,15.0
5,20190716,동대구,부산,27.0
5,20190717,동대구,부산,29.0
5,20190718,동대구,부산,42.0
5,20190719,동대구,부산,56.0
5,20190720,동대구,부산,44.0
5,20190721,동대구,부산,21.0
5,20190722,동대구,부산,27.0
5,20190723,동대구,부산,29.0
5,20190724,동대구,부산,27.0
5,20190725,동대구,부산,35.0
5,20190726,동대구,부산,58.0
5,20190727,동대구,부산,25.0
5,20190728,동대구,부산,25.0
5,20190729,동대구,부산,25.0
5,20190730,동대구,부산,25.0
5,20190701,동대구,울산,22.0
5,20190702,동대구,울산,29.0
5,20190703,동대구,울산,35.0
5,20190704,동대구,울산,24.0
5,20190705,동대구,울산,45.0
5,20190706,동대구,울산,63.0
5,20190707,동대구,울산,39.0
5,20190708,동대구,울산,29.0
5,20190709,동대구,울산,25.0
5,20190710,동대구,울산,24.0
5,20190711,동대구,울산,28.0
5,20190712,동대구,울산,37.0
5,20190713,동대구,울산,52.0
5,20190714,동대구,울산,64.0
5,20190715,동대구,울산,20.0
5,20190716,동대구,울산,29.0
5,20190717,동대구,울산,20.0
5,20190718,동대구,울산,20.0
5,20190719,동대구,울산,39.0
5,20190720,동대구,울산,55.0
5,20190721,동대구,울산,47.0
5,20190722,동대구,울산,23.0
5,20190723,동대구,울산,31.0
5,20190724,동대구,울산,20.0
5,20190725,동대구,울산,29.0
5,20190726,동대구,울산,33.0
5,20190727,동대구,울산,50.0
5,20190728,동대구,울산,38.0
5,20190729,동대구,울산,27.0
5,20190730,동대구,울산,41.0
5,20190701,오송,대전,7.0
5,20190702,오송,대전,7.0
5,20190703,오송,대전,9.0
5,20190704,오송,대전,9.0
5,20190705,오송,대전,8.0
5,20190706,오송,대전,3.0
5,20190707,오송,대전,6.0
5,20190708,오송,대전,2.0
5,20190709,오송,대전,10.0
5,20190710,오송,대전,5.0
5,20190711,오송,대전,5.0
5,20190712,오송,대전,15.0
5,20190713,오송,대전,7.0
5,20190714,오송,대전,6.0
5,20190715,오송,대전,1.0
5,20190716,오송,대전,4.0
5,20190717,오송,대전,10.0
5,20190718,오송,대전,2.0
5,20190719,오송,대전,12.0
5,20190720,오송,대전,2.0
5,20190721,오송,대전,5.0
5,20190722,오송,대전,2.0
5,20190723,오송,대전,1.0
5,20190724,오송,대전,6.0
5,20190725,오송,대전,7.0
